date,p_18k,s_silver,p_silver,s_pure,s_18k,p_pure,s_white,s_14k,p_white,p_14k
2025-05-15 09:37:11,394000,6390,5090,624000,458640,536000,191000,355679,157000,305600
2025-05-15 09:57:54,392500,6390,5090,624000,458640,534000,191000,355679,157000,304400
2025-05-15 10:52:09,390300,6390,5090,624000,458640,531000,191000,355679,157000,302700
2025-05-15 11:32:40,387400,6350,5050,619000,454965,527000,192000,352829,157000,300400
2025-05-15 12:01:41,384500,6350,5050,619000,454965,523000,192000,352829,157000,298200
2025-05-16 09:45:02,393300,6440,5130,632000,464520,535000,192000,360239,158000,305000
2025-05-17 08:22:33,392500,6390,5090,626000,460110,534000,192000,356819,158000,304400
2025-05-19 09:43:21,394700,6440,5120,635000,466725,537000,193000,361949,158000,306100
2025-05-20 09:48:30,394000,6380,5070,627000,460845,536000,193000,357389,158000,305600
2025-05-20 16:02:26,393300,6380,5070,627000,460845,535000,193000,357389,158000,305000
2025-05-21 09:44:59,397700,6520,5190,641000,471135,541000,203000,365369,166000,308400
2025-05-21 15:39:48,399200,6510,5180,643000,472605,543000,200000,366509,164000,309600
2025-05-22 09:51:11,400600,6530,5200,640000,470400,545000,205000,364799,168000,310700
2025-05-22 10:47:25,400600,6540,5200,643000,472605,545000,206000,366509,169000,310700
2025-05-23 09:43:08,399200,6460,5140,637000,468195,543000,207000,363089,170000,309600
2025-05-23 09:58:11,396900,6460,5140,637000,468195,540000,207000,363089,170000,307800
2025-05-23 15:18:41,396900,6460,5140,639000,469665,540000,208000,364229,171000,307800
2025-05-24 08:44:07,399200,6480,5150,641000,471135,543000,207000,365369,170000,309600
2025-05-26 09:41:34,397700,6470,5150,638000,468930,541000,208000,363659,171000,308400
2025-05-27 09:45:12,399900,6480,5160,640000,470400,544000,205000,364799,169000,310100
2025-05-27 14:57:17,396900,6480,5160,640000,470400,540000,205000,364799,169000,307800
2025-05-28 09:43:53,396200,6450,5130,634000,465990,539000,206000,361379,169000,307300
2025-05-29 09:48:23,393300,6450,5130,630000,463050,535000,206000,359099,169000,305000
2025-05-30 09:46:26,396200,6460,5140,636000,467460,539000,206000,362519,169000,307300
2025-05-31 08:13:54,396200,6460,5140,636000,467460,539000,203000,362519,166000,307300
2025-06-02 09:44:32,396900,6450,5130,637000,468195,540000,201000,363089,165000,307800
2025-06-02 15:31:48,396900,6460,5140,641000,471135,540000,200000,365369,164000,307800
2025-06-02 16:17:23,396900,6480,5160,644000,473340,540000,200000,367079,164000,307800
2025-06-03 09:45:00,401400,6750,5370,650000,477750,546000,203000,370499,167000,311300
2025-06-04 09:43:55,401400,6730,5350,644000,473340,546000,205000,367079,169000,311300
2025-06-04 11:09:10,401400,6710,5340,646000,474810,546000,206000,368219,169000,311300
2025-06-04 15:51:17,399900,6710,5340,646000,474810,544000,206000,368219,169000,310100
2025-06-05 09:43:05,399900,6640,5280,642000,471870,544000,206000,365939,169000,310100
2025-06-05 11:52:53,398400,6640,5280,642000,471870,542000,206000,365939,169000,309000
2025-06-06 09:45:33,396900,6860,5450,637000,468195,540000,214000,363089,176000,307800
2025-06-06 14:09:54,396900,6940,5520,640000,470400,540000,217000,364799,178000,307800
2025-06-07 09:00:49,392500,6930,5510,629000,462315,534000,221000,358529,181000,304400
2025-06-09 09:42:51,392500,6940,5520,629000,462315,534000,220000,358529,181000,304400
2025-06-09 11:10:01,390300,6940,5520,629000,462315,531000,220000,358529,180000,302700
2025-06-09 13:43:17,391800,6940,5520,629000,462315,533000,220000,358529,180000,303900
2025-06-10 09:43:22,394700,7030,5590,628000,461580,537000,228000,357959,187000,306100
2025-06-10 14:15:37,394700,7050,5610,630000,463050,537000,230000,359099,189000,306100
2025-06-10 15:27:48,395500,7050,5610,633000,465255,538000,229000,360809,188000,306700
2025-06-11 09:46:51,396200,7050,5610,635000,466725,539000,230000,361949,189000,307300
2025-06-11 11:18:02,398400,7100,5650,639000,469665,542000,232000,364229,191000,309000
2025-06-12 09:47:12,399900,7030,5600,644000,473340,544000,240000,367079,197000,310100
2025-06-12 10:51:57,400600,7030,5600,644000,473340,545000,240000,367079,197000,310700
2025-06-12 12:25:28,399900,7030,5600,644000,473340,544000,240000,367079,197000,310100
2025-06-12 16:50:35,397700,6860,5460,635000,466725,541000,235000,361949,193000,308400
2025-06-13 09:45:32,402100,6950,5530,650000,477750,547000,241000,370499,198000,311800
2025-06-13 09:47:15,402100,6980,5550,651000,478485,547000,241000,371069,198000,311800
2025-06-13 09:56:21,407200,6980,5550,651000,478485,554000,241000,371069,198000,315800
2025-06-13 10:03:19,402100,6980,5550,651000,478485,547000,241000,371069,198000,311800
2025-06-13 11:32:57,402100,7060,5610,655000,481425,547000,244000,373349,201000,311800
2025-06-13 11:59:11,405000,7060,5610,655000,481425,551000,244000,373349,201000,314100
2025-06-13 13:40:28,405000,7030,5590,657000,482895,551000,244000,374489,201000,314100
2025-06-14 08:45:43,405000,7020,5590,655000,481425,551000,232000,373349,191000,314100
2025-06-16 09:43:48,406500,7000,5570,657000,482895,553000,232000,374489,191000,315300
2025-06-16 15:05:03,405800,7000,5570,650000,477750,552000,233000,370499,191000,314700
2025-06-17 09:41:09,405800,7000,5570,646000,474810,552000,234000,368219,192000,314700
2025-06-17 10:00:40,404300,7000,5570,646000,474810,550000,234000,368219,192000,313500
2025-06-17 12:25:50,403600,7000,5570,646000,474810,549000,234000,368219,192000,313000
2025-06-18 09:44:48,405800,7230,5750,651000,478485,552000,240000,371069,198000,314700
2025-06-18 11:37:49,403600,7230,5750,651000,478485,549000,240000,371069,198000,313000
2025-06-19 09:44:09,405000,7160,5690,650000,477750,551000,254000,370499,209000,314100
2025-06-19 10:26:45,405000,7170,5700,652000,479220,551000,256000,371639,210000,314100
2025-06-19 15:17:55,402800,7170,5700,652000,479220,548000,256000,371639,210000,312400
2025-06-20 09:44:08,402800,7050,5610,644000,473340,548000,246000,367079,202000,312400
2025-06-20 12:18:50,399200,7050,5610,644000,473340,543000,246000,367079,202000,309600
2025-06-20 13:52:59,399200,6920,5510,642000,471870,543000,244000,365939,200000,309600
